epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,72.2736,4.19166,4.79028,3.4009,3.52177,0.01167,0.875,0.0119,0.00406,0.00778,0.58333,0.00759,0.00257,2.53352,5.10941,3.34668,3.1803,0.0016634,0.0016634,0.0016634
36,74.1568,4.03897,4.91968,3.37011,3.45235,0.01111,0.83333,0.01068,0.00363,0.00944,0.70833,0.00958,0.00327,2.61262,5.11865,3.33324,3.12737,0.0016535,0.0016535,0.0016535
37,76.2368,3.73403,4.78967,3.36702,3.48583,0.01111,0.83333,0.01068,0.00363,0.00944,0.70833,0.00958,0.00327,2.61262,5.11865,3.33324,3.12737,0.0016436,0.0016436,0.0016436
38,78.09,3.61509,4.72988,3.38283,3.47932,0.01111,0.83333,0.01068,0.00363,0.00944,0.70833,0.00958,0.00327,2.61262,5.11865,3.33324,3.12737,0.0016337,0.0016337,0.0016337
39,80.0781,3.68896,4.80522,3.34495,3.39365,0.01167,0.875,0.01145,0.00485,0.00778,0.58333,0.00762,0.003,2.44387,5.12328,3.3492,3.0301,0.0016238,0.0016238,0.0016238
40,81.8698,3.50578,4.75783,3.33512,3.36328,0.01167,0.875,0.01145,0.00485,0.00778,0.58333,0.00762,0.003,2.44387,5.12328,3.3492,3.0301,0.0016139,0.0016139,0.0016139
41,83.7897,3.60281,4.82387,3.3453,3.40938,0.00889,0.66667,0.00915,0.00318,0.005,0.375,0.00451,0.00096,3.07261,5.14595,3.41827,3.17413,0.001604,0.001604,0.001604
42,85.7801,3.62912,4.76154,3.30424,3.27776,0.00889,0.66667,0.00915,0.00318,0.005,0.375,0.00451,0.00096,3.07261,5.14595,3.41827,3.17413,0.0015941,0.0015941,0.0015941
43,87.6976,3.77693,4.73835,3.33878,3.39385,0.00889,0.66667,0.00915,0.00318,0.005,0.375,0.00451,0.00096,3.07261,5.14595,3.41827,3.17413,0.0015842,0.0015842,0.0015842
44,89.5268,3.54261,4.84685,3.32373,3.32902,0.00981,0.41667,0.0073,0.00135,0,0,0,0,4.1556,5.15328,3.55634,3.52442,0.0015743,0.0015743,0.0015743
45,91.4308,3.53955,4.73807,3.32095,3.34844,0.00981,0.41667,0.0073,0.00135,0,0,0,0,4.1556,5.15328,3.55634,3.52442,0.0015644,0.0015644,0.0015644
46,93.2696,3.94676,4.71822,3.29733,3.23142,0.00981,0.41667,0.0073,0.00135,0,0,0,0,4.1556,5.15328,3.55634,3.52442,0.0015545,0.0015545,0.0015545
47,95.1564,3.36068,4.74002,3.27494,3.22726,0.00591,0.16667,0.00367,0.00088,0,0,0,0,4.41619,5.13911,3.5876,3.63858,0.0015446,0.0015446,0.0015446
48,96.92,3.73628,4.71997,3.35843,3.37532,0.00591,0.16667,0.00367,0.00088,0,0,0,0,4.41619,5.13911,3.5876,3.63858,0.0015347,0.0015347,0.0015347
49,98.804,3.33892,4.62539,3.31646,3.28016,0.00667,0.5,0.00928,0.00272,0.00389,0.29167,0.00446,0.00076,3.55139,5.04644,3.42688,3.29523,0.0015248,0.0015248,0.0015248
50,100.83,3.37451,4.67782,3.29017,3.19439,0.00667,0.5,0.00928,0.00272,0.00389,0.29167,0.00446,0.00076,3.55139,5.04644,3.42688,3.29523,0.0015149,0.0015149,0.0015149
51,102.91,3.48739,4.6471,3.27297,3.17683,0.00667,0.5,0.00928,0.00272,0.00389,0.29167,0.00446,0.00076,3.55139,5.04644,3.42688,3.29523,0.001505,0.001505,0.001505
52,104.78,3.50868,4.63107,3.3135,3.24824,0.01056,0.79167,0.01595,0.00522,0.00833,0.625,0.01292,0.00245,3.1117,4.88066,3.34984,3.115,0.0014951,0.0014951,0.0014951
53,106.809,3.3334,4.51921,3.28933,3.18632,0.01056,0.79167,0.01595,0.00522,0.00833,0.625,0.01292,0.00245,3.1117,4.88066,3.34984,3.115,0.0014852,0.0014852,0.0014852
54,108.81,3.28553,4.59687,3.24529,3.05825,0.01056,0.79167,0.01595,0.00522,0.00833,0.625,0.01292,0.00245,3.1117,4.88066,3.34984,3.115,0.0014753,0.0014753,0.0014753
55,110.81,3.26219,4.35374,3.27148,3.14618,0.01222,0.91667,0.01919,0.0074,0.01222,0.91667,0.019,0.00634,2.5822,4.61594,3.25701,2.84509,0.0014654,0.0014654,0.0014654
56,112.607,3.28413,4.33726,3.27371,3.1505,0.01222,0.91667,0.01919,0.0074,0.01222,0.91667,0.019,0.00634,2.5822,4.61594,3.25701,2.84509,0.0014555,0.0014555,0.0014555
57,114.506,3.38556,4.36337,3.24367,3.071,0.01222,0.91667,0.02161,0.00735,0.01333,1,0.02929,0.00676,2.67304,4.36087,3.16467,2.7619,0.0014456,0.0014456,0.0014456
58,116.808,3.34344,4.2858,3.19485,3.03108,0.01222,0.91667,0.02161,0.00735,0.01333,1,0.02929,0.00676,2.67304,4.36087,3.16467,2.7619,0.0014357,0.0014357,0.0014357
59,118.862,3.62833,4.42759,3.23365,3.11767,0.01222,0.91667,0.02161,0.00735,0.01333,1,0.02929,0.00676,2.67304,4.36087,3.16467,2.7619,0.0014258,0.0014258,0.0014258
60,121.14,3.14207,4.14295,3.25181,3.15526,0.01278,0.95833,0.02336,0.00831,0.01278,0.95833,0.03147,0.00763,2.6017,4.14031,3.14208,2.71742,0.0014159,0.0014159,0.0014159
61,122.99,3.30408,4.21154,3.17641,2.98637,0.01278,0.95833,0.02336,0.00831,0.01278,0.95833,0.03147,0.00763,2.6017,4.14031,3.14208,2.71742,0.001406,0.001406,0.001406
62,124.891,3.26879,4.15784,3.18818,3.0254,0.01278,0.95833,0.02336,0.00831,0.01278,0.95833,0.03147,0.00763,2.6017,4.14031,3.14208,2.71742,0.0013961,0.0013961,0.0013961
63,126.93,3.27244,3.9753,3.12466,2.90635,0.01278,0.95833,0.02983,0.00994,0.01278,0.95833,0.04029,0.0103,2.55238,3.99769,3.12957,2.69678,0.0013862,0.0013862,0.0013862
64,128.79,3.46622,4.2788,3.13393,2.98749,0.01278,0.95833,0.02983,0.00994,0.01278,0.95833,0.04029,0.0103,2.55238,3.99769,3.12957,2.69678,0.0013763,0.0013763,0.0013763
65,130.593,3.17801,4.11748,3.19357,3.04208,0.01278,0.95833,0.0304,0.0109,0.01222,0.91667,0.04046,0.01036,2.50035,3.91677,3.13572,2.69976,0.0013664,0.0013664,0.0013664
66,132.71,3.3056,3.93614,3.13894,2.97879,0.01278,0.95833,0.0304,0.0109,0.01222,0.91667,0.04046,0.01036,2.50035,3.91677,3.13572,2.69976,0.0013565,0.0013565,0.0013565
67,134.492,3.11493,3.96074,3.09921,2.86822,0.01278,0.95833,0.0304,0.0109,0.01222,0.91667,0.04046,0.01036,2.50035,3.91677,3.13572,2.69976,0.0013466,0.0013466,0.0013466
68,136.34,3.004,3.66272,3.1901,3.00186,0.01278,0.95833,0.03403,0.01166,0.01222,0.91667,0.04213,0.01129,2.53564,3.90026,3.12195,2.69974,0.0013367,0.0013367,0.0013367
69,138.17,3.3157,3.94373,3.16603,3.01808,0.01278,0.95833,0.03403,0.01166,0.01222,0.91667,0.04213,0.01129,2.53564,3.90026,3.12195,2.69974,0.0013268,0.0013268,0.0013268
70,139.98,3.20574,3.75136,3.12394,2.92017,0.01278,0.95833,0.03403,0.01166,0.01222,0.91667,0.04213,0.01129,2.53564,3.90026,3.12195,2.69974,0.0013169,0.0013169,0.0013169
71,141.876,3.19016,3.59037,3.139,2.97373,0.01278,0.95833,0.02674,0.01067,0.01278,0.95833,0.04032,0.00964,2.50005,3.8853,3.12247,2.71249,0.001307,0.001307,0.001307
72,143.648,3.4416,3.87129,3.13127,3.02855,0.01278,0.95833,0.02674,0.01067,0.01278,0.95833,0.04032,0.00964,2.50005,3.8853,3.12247,2.71249,0.0012971,0.0012971,0.0012971
73,145.485,3.27351,3.70902,3.07218,2.87722,0.01278,0.95833,0.03369,0.01136,0.01278,0.95833,0.0454,0.01138,2.48686,3.78583,3.1165,2.75496,0.0012872,0.0012872,0.0012872
74,147.464,3.25533,3.62504,3.03973,2.8874,0.01278,0.95833,0.03369,0.01136,0.01278,0.95833,0.0454,0.01138,2.48686,3.78583,3.1165,2.75496,0.0012773,0.0012773,0.0012773
75,149.273,3.14241,3.58173,2.91772,2.69295,0.01278,0.95833,0.03369,0.01136,0.01278,0.95833,0.0454,0.01138,2.48686,3.78583,3.1165,2.75496,0.0012674,0.0012674,0.0012674
76,151.035,3.07007,3.37566,3.09981,2.96328,0.01278,0.95833,0.04249,0.01326,0.01278,0.95833,0.05699,0.01647,2.42876,3.62775,3.06299,2.6845,0.0012575,0.0012575,0.0012575
77,153.01,3.1414,3.35748,2.99322,2.77853,0.01278,0.95833,0.04249,0.01326,0.01278,0.95833,0.05699,0.01647,2.42876,3.62775,3.06299,2.6845,0.0012476,0.0012476,0.0012476
78,154.741,3.17199,3.36549,3.07048,3.01247,0.01278,0.95833,0.04249,0.01326,0.01278,0.95833,0.05699,0.01647,2.42876,3.62775,3.06299,2.6845,0.0012377,0.0012377,0.0012377
79,156.53,3.10281,3.29286,3.01082,2.87096,0.01333,1,0.05948,0.019,0.01278,0.95833,0.06606,0.02252,2.40246,3.47383,2.98906,2.61342,0.0012278,0.0012278,0.0012278
80,158.434,3.17471,3.50178,2.8747,2.66878,0.01333,1,0.05948,0.019,0.01278,0.95833,0.06606,0.02252,2.40246,3.47383,2.98906,2.61342,0.0012179,0.0012179,0.0012179
81,160.265,3.2661,3.39833,2.90124,2.7544,0.01333,1,0.06345,0.02185,0.01333,1,0.09374,0.02771,2.34929,3.36844,2.94033,2.57336,0.001208,0.001208,0.001208
82,162.305,3.22149,3.08078,2.96539,2.89287,0.01333,1,0.06345,0.02185,0.01333,1,0.09374,0.02771,2.34929,3.36844,2.94033,2.57336,0.0011981,0.0011981,0.0011981
83,164.152,3.23068,3.29232,2.85715,2.67642,0.01333,1,0.06345,0.02185,0.01333,1,0.09374,0.02771,2.34929,3.36844,2.94033,2.57336,0.0011882,0.0011882,0.0011882
