epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.984,3.49167,4.90986,3.77006,4.0034,0.00016,0.01181,8e-05,1e-05,0,0,0,0,2.10093,5.14472,3.78797,4.03149,0.000660714,0.000660714,0.000660714
2,209.134,3.03578,4.50033,3.28089,3.27989,0.12211,0.44488,0.1289,0.0483,0.09232,0.29921,0.06608,0.01093,2.39922,5.84977,4.28798,2.36349,0.00132081,0.00132081,0.00132081
3,267.724,2.91048,3.62804,2.58937,2.70764,0.05411,0.19291,0.02868,0.00801,0.09665,0.12992,0.05732,0.01171,2.46859,4.17898,4.99302,2.63899,0.00197431,0.00197431,0.00197431
4,325.403,2.56595,2.96008,2.1241,2.44855,0.69669,0.7126,0.78315,0.19542,0.50651,0.47244,0.48428,0.09314,2.38567,4.3631,1.95639,2.25581,0.0019703,0.0019703,0.0019703
5,386.157,2.31818,2.65586,1.88744,2.22343,0.69714,0.8622,0.84854,0.39867,0.69624,0.80709,0.83029,0.41733,1.75416,2.35076,1.47308,1.78354,0.0019604,0.0019604,0.0019604
6,490.249,2.07378,2.34418,1.67907,2.00435,0.82343,0.89966,0.93958,0.55431,0.82343,0.89966,0.93864,0.5723,1.53823,1.79402,1.3461,1.6326,0.0019505,0.0019505,0.0019505
7,560.296,1.8994,2.24545,1.55472,1.86213,0.83998,0.90931,0.94877,0.55181,0.84283,0.90157,0.94432,0.5822,1.44192,1.65041,1.2146,1.59407,0.0019406,0.0019406,0.0019406
8,630.265,1.76627,2.0665,1.41319,1.7434,0.87243,0.88583,0.95222,0.54517,0.86855,0.88189,0.9434,0.56467,1.41155,1.91723,1.18909,1.5852,0.0019307,0.0019307,0.0019307
9,699.699,1.67293,1.98342,1.28476,1.63653,0.93833,0.96457,0.98471,0.61102,0.93851,0.95669,0.98349,0.66066,1.35399,1.64258,1.04084,1.50928,0.0019208,0.0019208,0.0019208
10,790.566,1.65704,1.91564,1.2147,1.60722,0.98608,0.9685,0.99391,0.6254,0.98608,0.9685,0.99391,0.72229,1.30796,1.34341,0.95921,1.42768,0.0019109,0.0019109,0.0019109
11,910.012,1.55955,1.77905,1.12138,1.53876,0.95872,0.98819,0.99324,0.66078,0.9549,0.98425,0.99278,0.68552,1.17168,1.54769,0.88454,1.39336,0.001901,0.001901,0.001901
12,1028.34,1.50817,1.74616,1.09654,1.49994,0.98375,0.95343,0.99332,0.67002,0.97969,0.94949,0.99226,0.7267,1.172,1.28327,0.85925,1.3703,0.0018911,0.0018911,0.0018911
13,1156.28,1.45961,1.68177,1.03185,1.46292,0.9839,0.96235,0.99363,0.67017,0.9839,0.96235,0.98818,0.73412,1.18185,1.28314,0.8346,1.38035,0.0018812,0.0018812,0.0018812
14,1283.57,1.41786,1.62935,1.00924,1.42101,0.98423,0.98288,0.99225,0.69095,0.98446,0.98031,0.98516,0.7261,1.07629,1.2515,0.78389,1.31931,0.0018713,0.0018713,0.0018713
15,1387.04,1.35482,1.63084,0.94158,1.37739,0.99411,0.98819,0.99492,0.73069,0.99056,0.98425,0.99447,0.73516,1.00755,1.31836,0.71123,1.26473,0.0018614,0.0018614,0.0018614
16,1453.77,1.3176,1.56998,0.8945,1.33456,0.99633,0.98031,0.99484,0.74956,0.99658,0.98031,0.9944,0.76653,0.98132,1.17939,0.68153,1.225,0.0018515,0.0018515,0.0018515
17,1577.17,1.32486,1.5584,0.91413,1.34107,0.98,0.98819,0.99285,0.69958,0.98169,0.97638,0.99175,0.69961,1.15933,1.37145,0.76187,1.33036,0.0018416,0.0018416,0.0018416
18,1666.69,1.27864,1.50279,0.85024,1.29699,0.99112,0.98819,0.99444,0.76133,0.99112,0.98819,0.99444,0.78944,0.92528,1.06911,0.67838,1.19711,0.0018317,0.0018317,0.0018317
19,1723.07,1.23135,1.46773,0.82362,1.27339,0.98132,0.98819,0.99437,0.76045,0.98132,0.98819,0.99437,0.78509,0.91396,1.09385,0.66979,1.19504,0.0018218,0.0018218,0.0018218
20,1811.05,1.21836,1.50633,0.81061,1.27701,0.98768,0.98819,0.99469,0.76949,0.98768,0.98819,0.99448,0.78608,0.89697,1.11659,0.64488,1.16255,0.0018119,0.0018119,0.0018119
21,1909.97,1.23865,1.52782,0.81303,1.26462,0.99604,0.99117,0.99476,0.76367,0.99604,0.99117,0.99476,0.74936,0.95146,1.17076,0.63649,1.18542,0.001802,0.001802,0.001802
22,2023.71,1.18241,1.41679,0.7716,1.2353,0.99512,0.98819,0.99473,0.78162,0.99512,0.98819,0.99473,0.79009,0.8561,1.0659,0.59504,1.14294,0.0017921,0.0017921,0.0017921
23,2141.32,1.21582,1.46558,0.76924,1.23842,0.99921,0.99213,0.995,0.75334,0.99921,0.99213,0.995,0.80146,0.94569,1.03307,0.60236,1.19576,0.0017822,0.0017822,0.0017822
24,2211.68,1.22689,1.46488,0.76589,1.25283,0.99871,0.98819,0.99496,0.78535,0.99871,0.98819,0.99496,0.79702,0.87156,1.03862,0.58689,1.13603,0.0017723,0.0017723,0.0017723
25,2296.49,1.18351,1.43743,0.74031,1.22585,0.9899,0.98425,0.99252,0.73867,0.9899,0.98425,0.99252,0.74824,0.9815,1.14664,0.67957,1.21447,0.0017624,0.0017624,0.0017624
26,2390.39,1.15612,1.38673,0.73089,1.20765,0.99927,1,0.995,0.79073,0.99927,1,0.995,0.8027,0.83599,1.00384,0.56032,1.12238,0.0017525,0.0017525,0.0017525
27,2478.81,1.13397,1.35302,0.72255,1.19851,0.99647,0.98819,0.99496,0.78678,0.99647,0.98819,0.99496,0.81379,0.86262,0.99185,0.56718,1.13843,0.0017426,0.0017426,0.0017426
28,2542.6,1.13217,1.35901,0.71524,1.19879,0.971,0.98031,0.99339,0.73512,0.97256,0.97696,0.99335,0.78676,0.98895,1.08021,0.59333,1.21838,0.0017327,0.0017327,0.0017327
29,2610.99,1.15377,1.36847,0.71194,1.19783,1,0.99462,0.995,0.80201,1,0.99462,0.995,0.81492,0.81524,0.95557,0.51972,1.10145,0.0017228,0.0017228,0.0017228
30,2672.42,1.06671,1.30801,0.66801,1.15566,0.99543,0.99213,0.99496,0.81799,0.99938,0.99606,0.995,0.81904,0.75727,0.96377,0.51661,1.07294,0.0017129,0.0017129,0.0017129
31,2739.9,1.0808,1.32528,0.67521,1.17198,1,0.99524,0.995,0.81455,1,0.99524,0.995,0.82577,0.7788,0.9451,0.51937,1.08074,0.001703,0.001703,0.001703
32,2800.28,1.08965,1.30971,0.67765,1.1638,0.99996,0.99213,0.995,0.7967,0.99996,0.99213,0.995,0.8279,0.76676,0.92732,0.50544,1.07135,0.0016931,0.0016931,0.0016931
33,2859.46,1.03709,1.27975,0.64183,1.14534,0.99605,0.99186,0.99472,0.77998,0.99605,0.99186,0.99472,0.82142,0.83556,0.93214,0.51483,1.10154,0.0016832,0.0016832,0.0016832
34,2915.77,1.04889,1.23653,0.64231,1.14755,0.99596,0.98819,0.99488,0.81762,0.99596,0.98819,0.99477,0.82356,0.75989,0.94899,0.51089,1.07255,0.0016733,0.0016733,0.0016733
35,2984.92,1.03958,1.26043,0.63174,1.14292,0.99606,0.99495,0.99496,0.80836,0.99603,0.9883,0.99496,0.83304,0.77974,0.92159,0.48294,1.06973,0.0016634,0.0016634,0.0016634
36,3072.2,1.062,1.27978,0.64927,1.152,0.9982,0.99606,0.995,0.82501,0.9982,0.99606,0.995,0.83404,0.72995,0.91084,0.45957,1.05409,0.0016535,0.0016535,0.0016535
