epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9141,3.32318,5.00256,3.63649,3.92512,0.00573,0.93484,0.02495,0.00673,0.00235,0.38346,0.00162,0.00039,2.05493,5.15385,3.39923,3.59427,0.000662857,0.000662857,0.000662857
2,169.53,3.03039,4.37173,3.03488,3.16697,0.11566,0.30075,0.08604,0.02408,0.04689,0.09774,0.02389,0.00431,2.58174,5.20843,8.96766,2.80593,0.00132294,0.00132294,0.00132294
3,271.603,2.73154,3.12111,2.36811,2.69141,0.4448,0.4411,0.42375,0.14106,0.43867,0.42356,0.4159,0.15231,2.21456,2.89838,2.26291,2.3369,0.00197643,0.00197643,0.00197643
4,364.06,2.25161,2.52389,1.90686,2.25447,0.78866,0.74436,0.8543,0.35706,0.78881,0.74185,0.84054,0.35506,1.86765,2.09207,1.61029,1.99523,0.0019703,0.0019703,0.0019703
5,455.678,1.93534,2.24656,1.60958,1.92597,0.82224,0.73035,0.87162,0.41371,0.85001,0.69424,0.86772,0.46868,1.60534,1.67412,1.32104,1.7477,0.0019604,0.0019604,0.0019604
6,546.58,1.75556,2.05036,1.41652,1.74405,0.93698,0.93157,0.97172,0.51105,0.94128,0.92982,0.96954,0.56976,1.5509,1.6154,1.1632,1.78494,0.0019505,0.0019505,0.0019505
