epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,2539.62,0.65168,0.81061,0.3823,0.96373,0.99976,1,0.995,0.90034,0.99976,1,0.995,0.86449,0.48317,0.62946,0.28773,0.92933,0.001406,0.001406,0.001406
32,2618.61,0.63925,0.79394,0.37843,0.96133,1,0.99978,0.995,0.90492,1,0.99978,0.995,0.8645,0.48619,0.61944,0.27973,0.93425,0.0013862,0.0013862,0.0013862
33,2697.7,0.62646,0.78955,0.37108,0.94726,0.99873,0.99749,0.995,0.90711,0.99873,0.99749,0.995,0.86272,0.47334,0.63543,0.28773,0.92581,0.0013664,0.0013664,0.0013664
34,2776.16,0.62953,0.77248,0.37191,0.95401,0.99729,1,0.995,0.9104,0.99729,1,0.995,0.86878,0.49318,0.6268,0.28388,0.93547,0.0013466,0.0013466,0.0013466
35,2855.22,0.61837,0.77237,0.36592,0.94649,0.99976,0.99749,0.995,0.89637,0.99976,0.99749,0.995,0.85959,0.49235,0.63503,0.28372,0.93651,0.0013268,0.0013268,0.0013268
36,2934.08,0.62076,0.77448,0.37184,0.95456,0.9998,1,0.995,0.91536,0.9998,1,0.995,0.87525,0.46607,0.62859,0.26932,0.9233,0.001307,0.001307,0.001307
37,3012.27,0.61989,0.75802,0.36688,0.9512,1,0.99633,0.995,0.91455,1,0.99633,0.995,0.87802,0.47474,0.618,0.27856,0.9274,0.0012872,0.0012872,0.0012872
38,3091.6,0.61948,0.78094,0.3722,0.95484,0.99736,0.99499,0.995,0.91496,0.99736,0.99499,0.995,0.87836,0.46619,0.6253,0.27586,0.92056,0.0012674,0.0012674,0.0012674
39,3169.41,0.63424,0.77416,0.36718,0.95546,0.99725,1,0.995,0.91191,0.99725,1,0.995,0.87388,0.46223,0.62221,0.27252,0.91787,0.0012476,0.0012476,0.0012476
40,3248.39,0.61079,0.75812,0.36001,0.94747,0.99962,0.99749,0.995,0.91298,0.99962,0.99749,0.995,0.87116,0.48421,0.63189,0.27499,0.92752,0.0012278,0.0012278,0.0012278
41,3326.87,0.62829,0.7978,0.3746,0.9528,0.99713,0.99749,0.995,0.90297,0.99713,0.99749,0.995,0.86467,0.48918,0.63321,0.28464,0.93183,0.001208,0.001208,0.001208
42,3405.25,0.61685,0.77006,0.35804,0.94689,0.99972,0.99749,0.995,0.90409,0.99972,0.99749,0.995,0.86269,0.47735,0.62777,0.2813,0.92564,0.0011882,0.0011882,0.0011882
43,3483.25,0.60681,0.76355,0.35841,0.94802,0.99978,0.99749,0.995,0.9073,0.99978,0.99749,0.995,0.86823,0.50122,0.63374,0.28704,0.93323,0.0011684,0.0011684,0.0011684
44,3562.12,0.62106,0.78456,0.36622,0.95726,0.99653,0.99749,0.995,0.91749,0.99653,0.99749,0.995,0.87685,0.4698,0.62462,0.2745,0.92549,0.0011486,0.0011486,0.0011486
45,3640.86,0.60054,0.7435,0.35661,0.9459,0.99718,0.99749,0.995,0.90761,0.99718,0.99749,0.995,0.8695,0.47017,0.61679,0.27244,0.92538,0.0011288,0.0011288,0.0011288
46,3719.47,0.60656,0.76055,0.36104,0.94983,0.99966,0.99749,0.995,0.9225,0.99966,0.99749,0.995,0.87317,0.47306,0.62654,0.27746,0.92224,0.001109,0.001109,0.001109
47,3798.56,0.61775,0.76002,0.36997,0.9498,1,0.99961,0.995,0.91898,1,0.99961,0.995,0.88003,0.47204,0.60753,0.27483,0.92221,0.0010892,0.0010892,0.0010892
48,3877.63,0.62285,0.76443,0.36711,0.9499,1,0.99727,0.995,0.90543,1,0.99727,0.995,0.86284,0.49512,0.64696,0.28108,0.93428,0.0010694,0.0010694,0.0010694
49,3956.86,0.6159,0.75687,0.35805,0.95326,0.9998,1,0.995,0.91921,0.9998,1,0.995,0.86999,0.47495,0.62449,0.26868,0.92432,0.0010496,0.0010496,0.0010496
50,4035.09,0.61152,0.75132,0.35844,0.95035,0.99985,1,0.995,0.92296,0.99985,1,0.995,0.87777,0.46613,0.61949,0.27393,0.92083,0.0010298,0.0010298,0.0010298
51,4113.9,0.59545,0.73524,0.35187,0.94262,1,0.99979,0.995,0.91271,1,0.99979,0.995,0.87815,0.47298,0.62434,0.27624,0.92296,0.00101,0.00101,0.00101
52,4192.24,0.61567,0.77145,0.36071,0.94794,0.9975,0.99956,0.995,0.9157,0.9975,0.99956,0.995,0.87615,0.467,0.61842,0.27026,0.91871,0.0009902,0.0009902,0.0009902
53,4270.38,0.60677,0.75914,0.3532,0.94399,0.9974,0.99749,0.995,0.91885,0.9974,0.99749,0.995,0.86906,0.46859,0.62166,0.26529,0.92079,0.0009704,0.0009704,0.0009704
54,4351.23,0.59976,0.74813,0.3513,0.94808,0.99695,0.99749,0.995,0.92083,0.99695,0.99749,0.995,0.87636,0.46108,0.61828,0.26457,0.91796,0.0009506,0.0009506,0.0009506
55,4430.62,0.58799,0.73488,0.34769,0.94311,0.99853,0.99749,0.995,0.91377,0.99853,0.99749,0.995,0.87782,0.46449,0.6148,0.26672,0.91961,0.0009308,0.0009308,0.0009308
56,4509.36,0.60331,0.77163,0.35581,0.94357,0.99897,0.99749,0.995,0.93284,0.99897,0.99749,0.995,0.87232,0.45078,0.62514,0.26163,0.91284,0.000911,0.000911,0.000911
57,4588.98,0.60399,0.75778,0.35158,0.94303,1,0.99984,0.995,0.91671,1,0.99984,0.995,0.8817,0.46307,0.60891,0.2682,0.91816,0.0008912,0.0008912,0.0008912
58,4669.85,0.60631,0.76677,0.3563,0.94874,1,0.99727,0.995,0.92003,1,0.99727,0.995,0.86328,0.45569,0.61774,0.26556,0.918,0.0008714,0.0008714,0.0008714
59,4748.31,0.61569,0.76383,0.36136,0.95397,0.9975,0.99981,0.995,0.91373,0.9975,0.99981,0.995,0.86598,0.46393,0.61453,0.26121,0.91739,0.0008516,0.0008516,0.0008516
60,4826.73,0.60176,0.74425,0.35025,0.94629,0.99974,0.99749,0.995,0.9154,0.99974,0.99749,0.995,0.87145,0.46225,0.61459,0.26071,0.91918,0.0008318,0.0008318,0.0008318
61,4905.44,0.59179,0.74958,0.34605,0.93915,0.99981,0.99749,0.995,0.91931,0.99981,0.99749,0.995,0.87209,0.46782,0.61165,0.25906,0.91981,0.000812,0.000812,0.000812
62,4984.68,0.6066,0.7477,0.34919,0.94583,0.99986,1,0.995,0.91056,0.99986,1,0.995,0.8702,0.47479,0.61027,0.26673,0.9203,0.0007922,0.0007922,0.0007922
63,5064.31,0.59983,0.74468,0.35115,0.94672,0.9998,0.99749,0.995,0.92369,0.9998,0.99749,0.995,0.8818,0.45223,0.60727,0.26113,0.91332,0.0007724,0.0007724,0.0007724
64,5144.09,0.59227,0.75444,0.34499,0.93665,0.99971,0.99749,0.995,0.92689,0.99971,0.99749,0.995,0.88122,0.4454,0.60365,0.25471,0.91262,0.0007526,0.0007526,0.0007526
65,5223.07,0.5963,0.7458,0.35018,0.94491,1,0.99978,0.995,0.92071,1,0.99978,0.995,0.87644,0.45458,0.61478,0.25563,0.91656,0.0007328,0.0007328,0.0007328
66,5302.75,0.58088,0.73111,0.34006,0.94155,0.99977,0.99749,0.995,0.92546,0.99977,0.99749,0.995,0.88141,0.44642,0.61514,0.25133,0.91194,0.000713,0.000713,0.000713
67,5392.43,0.59009,0.73819,0.34438,0.93889,0.99967,0.99749,0.995,0.92593,0.99967,0.99749,0.995,0.88096,0.45124,0.60644,0.26398,0.91527,0.0006932,0.0006932,0.0006932
68,5479.07,0.59046,0.73993,0.34718,0.94527,0.9998,1,0.995,0.92028,0.9998,1,0.995,0.87195,0.44449,0.60969,0.25359,0.90939,0.0006734,0.0006734,0.0006734
69,5565.35,0.59244,0.75299,0.34232,0.94288,0.99742,0.99749,0.995,0.92552,0.99742,0.99749,0.995,0.87361,0.44326,0.60965,0.25238,0.91079,0.0006536,0.0006536,0.0006536
70,5652.4,0.5863,0.75526,0.34528,0.94462,0.99743,1,0.995,0.9183,0.99743,1,0.995,0.87019,0.45749,0.61413,0.25812,0.9176,0.0006338,0.0006338,0.0006338
