epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2620.83,0.97902,1.16182,0.60165,1.11632,0.99352,0.99749,0.99477,0.82142,0.99352,0.99749,0.99477,0.79233,0.71378,0.89709,0.45759,1.08377,0.0017129,0.0017129,0.0017129
31,2726.87,0.95812,1.17503,0.5912,1.11162,0.98696,0.99749,0.99495,0.83045,0.98696,0.99749,0.99495,0.80438,0.67791,0.81568,0.44674,1.06708,0.001703,0.001703,0.001703
32,2970.23,0.93974,1.1178,0.57659,1.1027,0.99538,0.99749,0.995,0.81952,0.99538,0.99749,0.995,0.80178,0.70188,0.83317,0.45665,1.0755,0.0016931,0.0016931,0.0016931
33,3082.81,0.93286,1.16027,0.57234,1.08692,0.99917,0.99749,0.995,0.82364,0.99917,0.99749,0.995,0.80613,0.7231,0.84979,0.45129,1.07758,0.0016832,0.0016832,0.0016832
34,3187.53,0.93306,1.10619,0.57249,1.09366,0.99405,0.99749,0.99497,0.83432,0.99405,0.99749,0.9946,0.80875,0.67227,0.81419,0.44089,1.06168,0.0016733,0.0016733,0.0016733
35,3295.48,0.9086,1.09738,0.5604,1.07878,0.994,0.99749,0.99497,0.82546,0.994,0.99749,0.99497,0.79883,0.70029,0.82785,0.48272,1.07086,0.0016634,0.0016634,0.0016634
36,3393.21,0.90463,1.09822,0.56139,1.08644,0.99181,0.99749,0.99492,0.83063,0.99181,0.99749,0.99492,0.8197,0.66505,0.79335,0.43907,1.05059,0.0016535,0.0016535,0.0016535
37,3488.18,0.88573,1.04834,0.54937,1.07367,0.99749,0.99662,0.995,0.8489,0.99749,0.99662,0.995,0.81593,0.65666,0.80909,0.43405,1.0559,0.0016436,0.0016436,0.0016436
38,3583.38,0.90294,1.08372,0.55504,1.08323,0.99905,0.99749,0.995,0.83967,0.99905,0.99749,0.995,0.80351,0.67597,0.82981,0.43722,1.05792,0.0016337,0.0016337,0.0016337
39,3679.97,0.89185,1.05605,0.54275,1.07265,1,0.99642,0.995,0.85237,1,0.99642,0.995,0.8168,0.63491,0.77133,0.41811,1.03179,0.0016238,0.0016238,0.0016238
40,3775,0.8762,1.03369,0.53281,1.06378,0.99643,0.99749,0.995,0.84919,0.99643,0.99749,0.995,0.82142,0.65174,0.77114,0.42211,1.03893,0.0016139,0.0016139,0.0016139
41,3869.93,0.87079,1.07489,0.5356,1.06129,0.9972,0.99749,0.99497,0.85096,0.9972,0.99749,0.99497,0.81807,0.62032,0.79348,0.40024,1.02515,0.001604,0.001604,0.001604
