epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,2717.39,0.62415,0.77118,0.36505,0.9516,0.99979,1,0.995,0.9144,0.99979,1,0.995,0.88108,0.47315,0.61592,0.27111,0.91863,0.0017003,0.0017003,0.0017003
32,2808.3,0.61399,0.76982,0.35926,0.95141,0.99978,0.99749,0.995,0.90752,0.99978,0.99749,0.995,0.87641,0.4953,0.60191,0.2782,0.93383,0.00169031,0.00169031,0.00169031
33,2902.27,0.6108,0.75612,0.35554,0.93921,0.99976,1,0.995,0.90994,0.99976,1,0.995,0.8736,0.46454,0.61663,0.26778,0.92064,0.00168032,0.00168032,0.00168032
34,2985.27,0.60534,0.74279,0.35504,0.94364,0.99948,0.99749,0.995,0.91431,0.99948,0.99749,0.995,0.86983,0.47062,0.61159,0.27171,0.92335,0.00167033,0.00167033,0.00167033
35,3067.37,0.59847,0.74448,0.35165,0.93773,1,0.99981,0.995,0.90174,1,0.99981,0.995,0.86479,0.4961,0.61043,0.27664,0.93496,0.00166034,0.00166034,0.00166034
36,3146.46,0.59534,0.747,0.35837,0.94456,0.99978,0.99749,0.995,0.91221,0.99978,0.99749,0.995,0.87433,0.46661,0.61088,0.26785,0.91974,0.00165035,0.00165035,0.00165035
37,3229.01,0.60492,0.73154,0.35463,0.94416,1,0.99748,0.995,0.91412,1,0.99748,0.995,0.87307,0.46719,0.6102,0.26614,0.91992,0.00164036,0.00164036,0.00164036
38,3307.89,0.60103,0.75451,0.3559,0.94605,0.99973,0.99749,0.995,0.91185,0.99973,0.99749,0.995,0.86964,0.48435,0.62312,0.28123,0.92862,0.00163037,0.00163037,0.00163037
39,3388.41,0.6161,0.7464,0.35852,0.94625,0.99987,1,0.995,0.90846,0.99987,1,0.995,0.87133,0.45639,0.61332,0.265,0.91682,0.00162038,0.00162038,0.00162038
40,3468.68,0.58728,0.73833,0.34652,0.93727,0.99938,0.99749,0.995,0.91328,0.99938,0.99749,0.995,0.87543,0.48386,0.61148,0.2739,0.92767,0.00161039,0.00161039,0.00161039
41,3552.07,0.60353,0.76668,0.35875,0.94226,0.99712,0.99749,0.9946,0.90081,0.99712,0.99749,0.9946,0.8721,0.49047,0.61423,0.27458,0.92985,0.0016004,0.0016004,0.0016004
42,3633.24,0.6001,0.74068,0.34683,0.93933,0.99976,0.99749,0.995,0.9137,0.99976,0.99749,0.995,0.87081,0.45685,0.61524,0.26168,0.91451,0.00159041,0.00159041,0.00159041
43,3715.84,0.59027,0.73697,0.34586,0.94123,0.99972,0.99749,0.995,0.91764,0.99972,0.99749,0.995,0.86992,0.4724,0.6169,0.25945,0.91839,0.00158042,0.00158042,0.00158042
44,3795.33,0.59635,0.7605,0.35038,0.94568,0.99848,0.99749,0.995,0.91612,0.99848,0.99749,0.995,0.88114,0.46502,0.6044,0.27182,0.92106,0.00157043,0.00157043,0.00157043
45,3895.46,0.58708,0.71804,0.34764,0.9382,0.99979,0.99749,0.995,0.91927,0.99979,0.99749,0.995,0.87202,0.46065,0.60112,0.26561,0.91474,0.00156044,0.00156044,0.00156044
